id,category,question,answer
2000,Solid & Hazardous Waste,"What is ""integrated solid waste management"" (ISWM)?","An integrated approach combining waste prevention, recycling, and disposal"
2001,Solid & Hazardous Waste,"What is ""landfill mining""?",Excavation of buried waste to recover materials or energy
2002,Solid & Hazardous Waste,"What is a ""secure landfill""?",A landfill designed to permanently isolate hazardous waste
2003,Fundamental Principles,"What is the ""dry tomb"" approach?",Limiting moisture entry to inhibit waste degradation
2004,Fundamental Principles,"What is ""commingled"" waste collection?",Collection of mixed recyclables in a single container
2005,Fundamental Principles,"What is ""spent pickle liquor""?",Acidic waste solution containing dissolved metals from steel pickling
2006,Fundamental Principles,What are the primary pollutants in coke oven wastewater?,"Phenols, ammonia, cyanide, and thiocyanate"
2007,Fundamental Principles,"What is ""slag"" in the steel industry?",A byproduct formed from impurities separated during metal smelting
2008,Water & Wastewater,"What is ""electrocoagulation""?",Using electric current to destabilize and aggregate contaminants
2009,Fundamental Principles,"What is the advantage of ""dry quenching"" coke?",Lower water use and reduced hazardous wastewater generation
2010,Fundamental Principles,"What is ""membrane fouling""?",Accumulation of materials on membranes that reduces filtration efficiency
2011,Fundamental Principles,"What is a ""basic oxygen furnace"" (BOF)?",A vessel that converts molten iron to steel using oxygen
2012,Environmental Chemistry,"What is ""biological oxidation"" used for in steel plants?",Biological treatment of wastewater to remove organic pollutants
2013,Groundwater/Soils/Sediments,"What is ""hydraulic conductivity""?",A measure of how easily a fluid flows through porous media
2014,Groundwater/Soils/Sediments,"What is ""field capacity"" of soil?",The soil moisture retained against gravity after drainage
2015,Fundamental Principles,"What is ""evapotranspiration""?",Combined water loss through evaporation and plant transpiration
2016,Solid & Hazardous Waste,"What defines ""hazardous waste"" characteristics?","Ignitability, corrosivity, reactivity, or toxicity"
2017,Fundamental Principles,"What is a ""transfer station""?",A facility that consolidates waste for efficient transport
2018,Fundamental Principles,"What is the ""polluter pays"" principle?",Those who generate pollution bear the cost of managing it
2019,Fundamental Principles,"What is ""aerobic"" decomposition?",Biological degradation in the presence of oxygen
2020,Fundamental Principles,"What is ""anaerobic"" digestion?",Biological degradation in the absence of oxygen producing biogas
2021,Fundamental Principles,"What is ""turbidity""?",Cloudiness caused by suspended particles in a fluid
2022,Fundamental Principles,"What is ""hydraulic residence time""?",The average time a fluid particle remains in a system
2023,Fundamental Principles,"What is ""e-waste""?",Discarded electrical and electronic equipment
2024,Fundamental Principles,"What are ""white goods""?",Large household appliances such as refrigerators and washing machines
2025,Fundamental Principles,"What is the ""3Rs"" hierarchy?","Reduce, Reuse, Recycle"
2026,Fundamental Principles,"What is ""anthropogenic"" pollution?",Pollution originating from human activities
2027,Solid & Hazardous Waste,"What is a ""sanitary landfill""?",An engineered landfill designed to protect public health and the environment
2028,Fundamental Principles,"What is ""value of statistical life"" (VSL)?",An economic measure of the benefit of reducing mortality risk
2029,Fundamental Principles,"What is a ""tipping fee""?",The fee charged to dispose of waste at a facility
2030,Fundamental Principles,What is a streamtube?,A bundle of streamlines inside which fluid flows without crossing the boundary
2031,Thermodynamics,What is sublimation in the hydrological cycle?,The direct transformation of snow and ice into water vapor
2032,Fundamental Principles,What is base flow?,The contribution of groundwater flowing directly into rivers and streams
2033,Fundamental Principles,What is an aquiclude?,A geological formation that cannot transmit water
2034,Fundamental Principles,What does the Kozeny-Carman equation estimate?,The permeability of a porous medium
2035,Fundamental Principles,What is specific storage in hydrogeology?,The volume of water released per unit volume of aquifer per unit decline in head
2036,Health Hazards & Risk Assessment,What is the vadose zone?,The unsaturated subsurface region above the water table
2037,Groundwater/Soils/Sediments,What is the zero flux plane in soil moisture?,"The depth where the hydraulic gradient is zero, separating upward and downward flow"
2038,Fundamental Principles,What is a Pigouvian tax?,A tax designed to correct market inefficiencies caused by negative externalities
2039,Fundamental Principles,What does the Coase Theorem state?,Efficient market outcomes can be achieved through negotiation regardless of initial property rights
2040,Fundamental Principles,What does hedonic pricing estimate?,The value of environmental factors based on property market prices
2041,Fundamental Principles,What does the acronym DALY stand for?,Disability-Adjusted Life Year
2042,Fundamental Principles,"What is the ""cradle-to-grave"" approach?",Managing a product or waste from creation to final disposal
2043,Fundamental Principles,What are radionuclides?,Unstable atoms that spontaneously decay and emit radiation
2044,Solid & Hazardous Waste,What is vermicomposting?,Composting using worms to decompose organic waste
2045,Solid & Hazardous Waste,What is landfill mining?,Recovering materials or energy from previously disposed waste
2046,Fundamental Principles,What is the function of a waste transfer station?,Consolidating waste from small vehicles for efficient long-distance transport
2047,Fundamental Principles,What does proximate analysis of waste determine?,"Moisture, volatile matter, fixed carbon, and ash content"
2048,Solid & Hazardous Waste,What is commingled recycling?,Collecting mixed recyclable materials together in one container
2049,Solid & Hazardous Waste,What is hybrid recycling?,A combination of source-separated and commingled recycling systems
2050,Fundamental Principles,What is blast furnace gas?,"A byproduct gas from ironmaking containing carbon monoxide, carbon dioxide, and nitrogen"
2051,Fundamental Principles,What is ammoniacal liquor?,Wastewater from coke ovens rich in ammonia and other contaminants
2052,Fundamental Principles,What is spent pickle liquor?,Acidic wastewater containing dissolved metal salts from steel pickling
2053,Water & Wastewater,What is electrocoagulation?,An electrochemical process that destabilizes contaminants for removal
2054,Fundamental Principles,What is Linz-Donawitz (LD) slag?,Slag produced during basic oxygen steelmaking
2055,Fundamental Principles,What is coke dry quenching (CDQ)?,Cooling hot coke with inert gas to recover heat and reduce water use
2056,Fundamental Principles,How is systems engineering defined?,The art and science of selecting optimal solutions under constraints and objectives
2057,Fundamental Principles,What is a feasible region in optimization?,The set of all decision variables that satisfy model constraints
2058,Fundamental Principles,What does a shadow price represent?,The marginal value or opportunity cost of relaxing a constraint
2059,Fundamental Principles,What is an externality?,A cost or benefit not reflected in market prices
2060,Fundamental Principles,"What describes the ""Tragedy of the Commons""?",Depletion of shared resources due to individual self-interest
2061,Fundamental Principles,What is marginal cost?,The cost of producing one additional unit of output
2062,Fundamental Principles,What are economies of scale?,Decreasing average cost as production scale increases
2063,Fundamental Principles,What is discounting in economics?,Converting future costs and benefits to present values
2064,Engineering Economics,What is the Internal Rate of Return (IRR)?,The discount rate at which net present value equals zero
2065,Fundamental Principles,What characterizes a public good?,Goods that are non-excludable and non-rivalrous
2066,Fundamental Principles,"What is the ""polluter pays"" principle?",Polluters bear the costs of managing pollution
2067,Fundamental Principles,What is Extended Producer Responsibility (EPR)?,Producers take responsibility for products after consumer use
2068,Environmental Chemistry,What is source reduction?,Reducing waste quantity and toxicity at the source
2069,Energy & Environment,What is Refuse-Derived Fuel (RDF)?,Fuel produced from processed combustible waste
2070,Solid & Hazardous Waste,What is leachate?,Liquid formed by water percolating through waste and extracting contaminants
2071,Solid & Hazardous Waste,What are the two main components of landfill gas?,Methane and carbon dioxide
2072,Solid & Hazardous Waste,What defines a sanitary landfill?,An engineered waste disposal site designed to protect human health and the environment
2073,Environmental Chemistry,What is the NIMBY phenomenon?,Local opposition to unwanted facility siting
2074,Solid & Hazardous Waste,What is single-stream recycling?,Collection of all recyclables in one container
2075,Fundamental Principles,What is a Material Recovery Facility (MRF)?,A facility that sorts and processes recyclable materials
2076,Groundwater/Soils/Sediments,What does hydraulic conductivity measure?,The ability of a porous medium to transmit fluids
2077,Groundwater/Soils/Sediments,What is transmissivity in an aquifer?,The rate of groundwater flow through the full saturated thickness of an aquifer
2078,Fundamental Principles,What does the Froude number classify?,Flow regimes in open channels
2079,Fundamental Principles,"What is the ""2+1 collection system"" in Malaysia?",Biweekly collection of residual waste and weekly collection of recyclables
2080,Environmental Chemistry,What does the Brundtland Commission emphasize as the key principle of sustainability?,"Balancing economic growth, environmental protection, and social equity for present and future generations."
2081,Health Hazards & Risk Assessment,What is the purpose of risk characterization in quantitative risk assessment?,To integrate toxicity and exposure information to estimate potential health risks.
2082,Water & Wastewater,Why is coagulation followed by flocculation in conventional water treatment?,To destabilize particles first and then promote their aggregation into settleable flocs.
2083,Environmental Chemistry,What pollutant is primarily responsible for the formation of photochemical smog?,Ground-level ozone formed from nitrogen oxides and volatile organic compounds.
2084,Groundwater/Soils/Sediments,What distinguishes an artesian aquifer from a typical confined aquifer?,An artesian aquifer has sufficient pressure to raise water above the aquifer without pumping.
2085,Solid & Hazardous Waste,What is the primary environmental concern associated with landfill leachate?,Potential contamination of groundwater with dissolved pollutants.
2086,Environmental Chemistry,What role do heterotrophic bacteria play in wastewater treatment?,"They consume organic matter and convert it into biomass, carbon dioxide, and water."
2087,Thermodynamics,What does the Second Law of Thermodynamics state regarding entropy?,Entropy of an isolated system tends to increase over time.
2088,Fundamental Principles,What is biomagnification and how does it differ from bioaccumulation?,Biomagnification is the increase of contaminant concentration at higher trophic levels.
2089,Solid & Hazardous Waste,What is the primary objective of hazardous waste incineration?,To destroy toxic organic compounds through high-temperature combustion.
2090,Environmental Chemistry,What does pH indicate about a solution?,The concentration of hydrogen ions and the acidity or basicity of the solution.
2091,Fundamental Principles,How does Raoult’s Law relate vapor pressure to solution composition?,Vapor pressure is proportional to the mole fraction of the solvent.
2092,Fundamental Principles,What is the main function of chloroplasts in plant cells?,They conduct photosynthesis to produce glucose using sunlight.
2093,Fundamental Principles,What does accumulation equal under steady-state conditions?,"Zero, because input equals output."
2094,Fundamental Principles,What does latent heat represent?,Energy absorbed or released during a phase change without temperature change.
2095,Mathematics,What factor most directly limits primary productivity in aquatic systems?,"Nutrient availability, especially nitrogen and phosphorus."
2096,Health Hazards & Risk Assessment,What is the role of uncertainty factors in determining a Reference Dose (RfD)?,To account for variability and uncertainty in toxicological data.
2097,Environmental Chemistry,What physical property controls groundwater flow velocity?,Hydraulic conductivity of the soil or rock.
2098,Fundamental Principles,What is the main goal of sustainable water management?,To meet human water needs without degrading aquatic ecosystems.
2099,Environmental Chemistry,What parameter is commonly used as an indicator of organic pollution?,Biochemical Oxygen Demand (BOD).
2100,Water & Wastewater,Why is pH adjustment important during coagulation?,Because coagulation efficiency depends strongly on pH.
2101,Water & Wastewater,What is the main purpose of aeration in activated sludge systems?,To supply oxygen for microbial degradation of organic matter.
2102,Air Quality & Control,What atmospheric condition enhances pollutant dispersion?,Strong vertical mixing and unstable atmospheric conditions.
2103,Solid & Hazardous Waste,What environmental benefit does composting provide?,Reduction of landfill volume and recovery of organic material.
2104,Fundamental Principles,What does land disposal restriction aim to prevent?,The uncontrolled release of hazardous substances into the environment.
2105,Health Hazards & Risk Assessment,What is the main health effect of prolonged exposure to high noise levels?,Hearing loss and increased stress.
2106,Thermodynamics,What type of radiation has the highest penetrating power?,Gamma radiation.
2107,Ethics & Professional Practice,Why is public safety prioritized in engineering ethics?,Because engineers’ decisions directly affect human health and welfare.
2108,Fundamental Principles,Why is environmental engineering considered interdisciplinary?,"Because it integrates chemistry, biology, physics, and engineering principles."
2109,Fundamental Principles,What is the primary goal of environmental engineering?,To protect human health and the environment using engineering principles.
2110,Probability & Statistics,What does sustainability aim to balance according to modern engineering practice?,"Environmental protection, economic viability, and social equity."
2111,Fundamental Principles,What is the main function of an Environmental Impact Statement (EIS)?,To evaluate environmental consequences of proposed federal actions.
2112,Environmental Chemistry,What does the precautionary principle emphasize?,Prevent harm when scientific uncertainty exists.
2113,Fundamental Principles,What is the unit commonly used to express concentration in water quality analysis?,Milligrams per liter (mg/L).
2114,Fundamental Principles,What is the difference between point and nonpoint source pollution?,"Point sources discharge from identifiable locations, nonpoint sources are diffuse."
2115,Water & Wastewater,What does biochemical oxygen demand (BOD) represent?,The amount of oxygen required to biologically degrade organic matter.
2116,Water & Wastewater,What does chemical oxygen demand (COD) measure?,The oxygen equivalent of organic matter susceptible to chemical oxidation.
2117,Fundamental Principles,Why is dissolved oxygen critical for aquatic life?,It supports respiration of aquatic organisms.
2118,Fundamental Principles,What causes thermal stratification in lakes?,Temperature differences caused by solar heating.
2119,Fundamental Principles,What is the epilimnion in a stratified lake?,"The warm, upper layer of a stratified lake."
2120,Fundamental Principles,What is the hypolimnion?,"The cold, dense bottom layer of a stratified lake."
2121,Environmental Chemistry,What is eutrophication?,Nutrient enrichment leading to excessive biological growth.
2122,Environmental Chemistry,Which nutrients primarily cause eutrophication?,Nitrogen and phosphorus.
2123,Environmental Chemistry,What is cultural eutrophication?,Human-accelerated nutrient enrichment of water bodies.
2124,Fundamental Principles,What is turbidity a measure of?,The cloudiness caused by suspended particles.
2125,Environmental Chemistry,What does pH indicate in water chemistry?,The acidity or basicity of a solution.
2126,Water & Wastewater,What is alkalinity in natural waters?,The capacity to neutralize acids.
2127,Water & Wastewater,What causes water hardness?,The presence of calcium and magnesium ions.
2128,Water & Wastewater,How is hardness typically expressed?,Milligrams per liter as calcium carbonate (CaCO₃).
2129,Water & Wastewater,What is the purpose of coagulation in water treatment?,To destabilize suspended particles.
2130,Water & Wastewater,What is flocculation?,Gentle mixing to form larger flocs.
2131,Water & Wastewater,What is sedimentation?,Settling of suspended solids by gravity.
2132,Water & Wastewater,What is filtration in water treatment?,Removal of particles by passing water through porous media.
2133,Water & Wastewater,What is disinfection intended to achieve?,Inactivation of pathogenic microorganisms.
2134,Water & Wastewater,Why is chlorine commonly used for disinfection?,It is effective and provides a residual.
2135,Fundamental Principles,What is a residual disinfectant?,Disinfectant remaining to prevent recontamination.
2136,Fundamental Principles,What is reverse osmosis primarily used for?,Removal of dissolved salts and contaminants.
2137,Fundamental Principles,What is desalination?,The removal of dissolved salts from water.
2138,Fundamental Principles,What is the purpose of screening in water treatment plants?,Removal of large debris.
2139,Fundamental Principles,What is primary wastewater treatment?,Removal of settleable solids.
2140,Fundamental Principles,What is secondary wastewater treatment?,Biological degradation of organic matter.
2141,Fundamental Principles,What is tertiary wastewater treatment?,Advanced removal of nutrients and remaining solids.
2142,Water & Wastewater,What is the activated sludge process?,A biological process using aeration and microorganisms.
2143,Fundamental Principles,What is mixed liquor suspended solids (MLSS)?,The concentration of suspended biomass.
2144,Water & Wastewater,What is sludge age (MCRT)?,The average time microorganisms remain in the system.
2145,Fundamental Principles,What is nitrification?,Oxidation of ammonia to nitrate.
2146,Fundamental Principles,What is denitrification?,Reduction of nitrate to nitrogen gas.
2147,Fundamental Principles,What is anaerobic digestion?,Biological stabilization of organic matter without oxygen.
2148,Fundamental Principles,What gas is primarily produced during anaerobic digestion?,Methane.
2149,Solid & Hazardous Waste,What is leachate?,Liquid formed by water percolating through waste.
2150,Solid & Hazardous Waste,What are the main components of landfill gas?,Methane and carbon dioxide.
2151,Solid & Hazardous Waste,What defines a sanitary landfill?,An engineered landfill with liners and monitoring.
2152,Environmental Chemistry,What is source reduction in waste management?,Reducing waste generation at the source.
2153,Solid & Hazardous Waste,What is recycling?,Processing waste materials into new products.
2154,Solid & Hazardous Waste,What is composting?,Biological decomposition of organic waste.
2155,Energy & Environment,What is refuse-derived fuel (RDF)?,Fuel produced from combustible waste fractions.
2156,Solid & Hazardous Waste,What is hazardous waste under RCRA?,Waste posing substantial hazards to health or environment.
2157,Solid & Hazardous Waste,What are the four hazardous waste characteristics?,"Ignitability, corrosivity, reactivity, and toxicity."
2158,Fundamental Principles,What is cradle-to-grave management?,Management from generation to disposal.
2159,Groundwater/Soils/Sediments,What is bioremediation?,Use of microorganisms to degrade contaminants.
2160,Groundwater/Soils/Sediments,What is phytoremediation?,Use of plants to remove or stabilize contaminants.
2161,Solid & Hazardous Waste,What is incineration of hazardous waste?,Thermal destruction of hazardous waste.
2162,Health Hazards & Risk Assessment,What is risk assessment?,The process of evaluating potential health risks.
2163,Health Hazards & Risk Assessment,What are the four steps of risk assessment?,"Hazard identification, dose-response, exposure, and risk characterization."
2164,Health Hazards & Risk Assessment,What is exposure assessment?,Estimation of contact with a contaminant.
2165,Health Hazards & Risk Assessment,What is a reference dose (RfD)?,Safe daily exposure level for noncarcinogens.
2166,Fundamental Principles,What is a slope factor used for?,Estimating cancer risk per unit dose.
2167,Groundwater/Soils/Sediments,What is an aquifer?,A geologic formation that stores and transmits groundwater.
2168,Groundwater/Soils/Sediments,What is an unconfined aquifer?,An aquifer open to atmospheric pressure.
2169,Groundwater/Soils/Sediments,What is a confined aquifer?,An aquifer under pressure between confining layers.
2170,Groundwater/Soils/Sediments,What is porosity?,Ratio of void volume to total volume.
2171,Groundwater/Soils/Sediments,What is hydraulic conductivity?,The ease with which water flows through soil.
2172,Fluid Mechanics & Hydraulics,What is Darcy’s Law used for?,Estimating groundwater flow rates.
2173,Health Hazards & Risk Assessment,What is the vadose zone?,The unsaturated zone above the water table.
2174,Fundamental Principles,What is evapotranspiration?,Combined evaporation and plant transpiration.
2175,Fundamental Principles,What is the water table?,The upper surface of groundwater.
2176,Air Quality & Control,What is air pollution?,The presence of harmful substances in air.
2177,Air Quality & Control,What is a primary air pollutant?,Pollutants emitted directly from sources.
2178,Air Quality & Control,What is a secondary air pollutant?,Pollutants formed through atmospheric reactions.
2179,Air Quality & Control,What is particulate matter (PM2.5)?,Fine particles smaller than 2.5 micrometers.
2180,Environmental Chemistry,What is photochemical smog?,Smog formed by sunlight-driven reactions.
2181,Fundamental Principles,What is the greenhouse effect?,Warming caused by infrared-absorbing gases.
2182,Fundamental Principles,What are criteria pollutants?,Pollutants regulated for public health protection.
2183,Air Quality & Control,What is an air temperature inversion?,A layer trapping pollutants near the surface.
2184,Fundamental Principles,What is sound measured in?,Decibels.
2185,Fundamental Principles,What is the decibel scale?,A logarithmic sound intensity scale.
2186,Thermodynamics,What is ionizing radiation?,Radiation capable of removing electrons from atoms.
2187,Fundamental Principles,What is half-life?,Time required for half a substance to decay.
2188,Fundamental Principles,What is an isotope?,Atoms with same atomic number but different mass.
2189,Fundamental Principles,What is specific gravity?,Ratio of substance density to water density.
2190,Fundamental Principles,Is specific gravity an intensive or extensive property?,An intensive property.
2191,Thermodynamics,What is the First Law of Thermodynamics?,Energy is conserved.
2192,Thermodynamics,What is entropy?,A measure of disorder or unavailable energy.
2193,Fundamental Principles,What is an open system?,A system exchanging mass and energy.
2194,Fundamental Principles,What is a closed system?,A system exchanging energy but not mass.
2195,Fundamental Principles,What is a control volume?,A defined region for analysis.
2196,Fundamental Principles,What is mass balance?,Accounting of mass inputs and outputs.
2197,Fundamental Principles,What defines steady-state conditions?,No accumulation occurs within the system.
2198,Fundamental Principles,What is the SI unit of pressure?,Pascal (Pa).
2199,Energy & Environment,What is the SI unit of energy?,Joule (J).
2200,Energy & Environment,What is the SI unit of power?,Watt (W).
2201,Fundamental Principles,What is the density of water at standard conditions?,1000 kg/m³.
2202,Fundamental Principles,What is the specific weight of water in SI units?,9.81 kN/m³.
2203,Fundamental Principles,What does specific gravity compare?,Density of a substance to water.
2204,Fluid Mechanics & Hydraulics,What is the formula for velocity in an open channel using Manning’s equation?,V = (1/n) R^(2/3) S^(1/2).
2205,Fundamental Principles,What does Manning’s roughness coefficient represent?,Surface roughness of the channel.
2206,Fundamental Principles,How does velocity change if hydraulic radius increases?,Velocity increases.
2207,Fundamental Principles,What happens to flow rate if slope doubles in Manning’s equation?,Flow rate increases by √2.
2208,Fundamental Principles,What is the continuity equation for steady incompressible flow?,Q = VA.
2209,Fundamental Principles,"If flow rate is 2 m³/s and area is 1 m², what is velocity?",2 m/s.
2210,Fundamental Principles,What is hydraulic radius?,Area divided by wetted perimeter.
2211,Fundamental Principles,What is the Froude number used to classify?,Open channel flow regime.
2212,Fundamental Principles,What flow regime corresponds to Froude number less than 1?,Subcritical flow.
2213,Fluid Mechanics & Hydraulics,What does Reynolds number indicate?,Flow regime type.
2214,Fluid Mechanics & Hydraulics,What flow is characterized by low Reynolds number?,Laminar flow.
2215,Groundwater/Soils/Sediments,What is the equation for porosity?,n = Vv / Vt.
2216,Groundwater/Soils/Sediments,"If void volume is 0.3 m³ and total volume is 1 m³, what is porosity?",0.3.
2217,Groundwater/Soils/Sediments,What does transmissivity represent in groundwater?,Ability of aquifer to transmit water.
2218,Groundwater/Soils/Sediments,What is the unit of hydraulic conductivity?,m/s.
2219,Fluid Mechanics & Hydraulics,What is Darcy velocity?,Discharge per unit area.
2220,Fluid Mechanics & Hydraulics,What is the relationship between seepage velocity and Darcy velocity?,Seepage velocity is greater.
2221,Fluid Mechanics & Hydraulics,What is the main assumption of Darcy’s Law?,Laminar flow in porous media.
2222,Water & Wastewater,What is the unit of BOD?,mg/L.
2223,Water & Wastewater,"If influent BOD is 200 mg/L and effluent is 40 mg/L, what is removal efficiency?",80%.
2224,Probability & Statistics,What does population equivalent (PE) represent?,Organic load equivalent per person.
2225,Environmental Chemistry,What is the typical pH of natural rainwater?,Approximately 5.6.
2226,Fundamental Principles,What causes acid rain?,Sulfur dioxide and nitrogen oxides.
2227,Water & Wastewater,What is alkalinity primarily due to?,Bicarbonates and carbonates.
2228,Environmental Chemistry,What is the relationship between pH and hydrogen ion concentration?,pH = −log[H⁺].
2229,Fundamental Principles,What is the equation for mass balance in steady state?,Input = Output.
2230,Fundamental Principles,"If input equals output, what is accumulation?",Zero.
2231,Fundamental Principles,What is the typical dissolved oxygen saturation at 20°C?,Approximately 9 mg/L.
2232,Fundamental Principles,What is the major source of nitrogen in wastewater?,Human waste and detergents.
2233,Fundamental Principles,What is the main purpose of aeration in wastewater treatment?,Supply oxygen and mix biomass.
2234,Water & Wastewater,What is sludge volume index (SVI)?,Volume occupied by sludge per mass.
2235,Fundamental Principles,What does a high SVI indicate?,Poor settling sludge.
2236,Fundamental Principles,What is the typical methane content of biogas?,About 60–65%.
2237,Fundamental Principles,What is the heating value of methane approximately?,~35 MJ/m³.
2238,Fundamental Principles,What is the main advantage of anaerobic digestion?,Energy recovery and low sludge production.
2239,Solid & Hazardous Waste,What is the definition of solid waste?,Discarded materials from human activity.
2240,Solid & Hazardous Waste,What is the primary goal of solid waste management?,Protect health and environment.
2241,Solid & Hazardous Waste,What is the difference between reuse and recycling?,"Reuse uses items again, recycling reprocesses materials."
2242,Fundamental Principles,What is compost maturity an indicator of?,Stability of compost.
2243,Solid & Hazardous Waste,What is the main environmental concern with landfills?,Groundwater contamination.
2244,Solid & Hazardous Waste,What is a liner used for in a landfill?,Prevent leachate migration.
2245,Solid & Hazardous Waste,What is the function of a leachate collection system?,Collect and remove leachate.
2246,Air Quality & Control,What is the primary air pollutant emitted from combustion engines?,Carbon monoxide.
2247,Fundamental Principles,What gas is responsible for ozone depletion?,Chlorofluorocarbons.
2248,Thermodynamics,What unit is used to measure radiation dose to humans?,Sievert (Sv).
2249,Thermodynamics,What is background radiation?,Radiation from natural sources.
2250,Fundamental Principles,What does ALARA stand for?,As Low As Reasonably Achievable.
2251,Mathematics,What is an occupational exposure limit?,Maximum allowable exposure level.
2252,Fundamental Principles,What is noise measured in?,Decibels.
2253,Fundamental Principles,What does dBA weighting represent?,Human hearing sensitivity.
2254,Fundamental Principles,What is the inverse square law related to?,Sound propagation.
2255,Fundamental Principles,"If sound distance doubles, what happens to intensity?",Intensity decreases by factor of four.
2256,Health Hazards & Risk Assessment,What is a carcinogen?,A cancer-causing substance.
2257,Health Hazards & Risk Assessment,What is a noncarcinogenic effect threshold?,A dose below which no effect occurs.
2258,Health Hazards & Risk Assessment,What is risk characterized as?,Probability of adverse effects.
2259,Health Hazards & Risk Assessment,What is the definition of exposure concentration?,Amount of contaminant contacted.
2260,Fundamental Principles,What is the unit of flow rate?,m³/s.
2261,Fundamental Principles,Convert 1 m³/s to L/s.,1000 L/s.
2262,Fundamental Principles,What is the unit of turbidity?,NTU.
2263,Fundamental Principles,What is the purpose of rapid mixing?,Disperse coagulant rapidly.
2264,Fundamental Principles,What does detention time represent?,Time fluid remains in system.
2265,Fundamental Principles,What is the formula for detention time?,t = V / Q.
2266,Fundamental Principles,"If tank volume is 100 m³ and flow is 10 m³/h, what is detention time?",10 hours.
2267,Fundamental Principles,What is a point source discharge example?,Wastewater treatment plant outfall.
2268,Fundamental Principles,What is nonpoint source pollution example?,Agricultural runoff.
2269,Fundamental Principles,What does EPA stand for?,Environmental Protection Agency.
2270,Fundamental Principles,What is NEPA?,National Environmental Policy Act.
2271,Fundamental Principles,What does an EIS evaluate?,Environmental impacts of actions.
2272,Thermodynamics,What is life cycle assessment (LCA)?,Evaluation of environmental impacts over life cycle.
2273,Fundamental Principles,What are the stages of LCA?,"Goal and scope, inventory, impact, interpretation."
2274,Water & Wastewater,What is embodied energy?,Energy required to produce a product.
2275,Energy & Environment,What is carbon footprint measured in?,CO₂ equivalent.
2276,Fundamental Principles,What is green engineering?,Design minimizing environmental impact.
2277,Fundamental Principles,What is sustainable design?,Meeting present needs responsibly.
2278,Fundamental Principles,What is the main objective of environmental regulations?,Protect human health and ecosystems.
2279,Fundamental Principles,What is the SI unit of force?,Newton (N).
2280,Fundamental Principles,What is the acceleration due to gravity on Earth?,9.81 m/s².
2281,Fluid Mechanics & Hydraulics,What does head loss represent in fluid flow?,Energy loss due to friction.
2282,Fluid Mechanics & Hydraulics,What equation is used to calculate head loss in pipes?,Darcy–Weisbach equation.
2283,Fundamental Principles,What does the Hazen–Williams equation estimate?,Head loss in water pipes.
2284,Fundamental Principles,What type of flow is assumed in the Hazen–Williams equation?,Turbulent flow.
2285,Fundamental Principles,What is a control volume?,A defined region for analysis.
2286,Fundamental Principles,What is steady flow?,Flow properties do not change with time.
2287,Fundamental Principles,What is uniform flow?,Flow properties do not change with distance.
2288,Fluid Mechanics & Hydraulics,What does viscosity measure?,Resistance to fluid deformation.
2289,Fluid Mechanics & Hydraulics,What is the unit of dynamic viscosity?,Pa·s.
2290,Fluid Mechanics & Hydraulics,What is kinematic viscosity equal to?,Dynamic viscosity divided by density.
2291,Fluid Mechanics & Hydraulics,What is the unit of kinematic viscosity?,m²/s.
2292,Fundamental Principles,What does the Prandtl number compare?,Momentum diffusivity to thermal diffusivity.
2293,Fundamental Principles,What is the Schmidt number used for?,Momentum diffusivity to mass diffusivity.
2294,Fundamental Principles,What is the main driving force for diffusion?,Concentration gradient.
2295,Fundamental Principles,What law governs molecular diffusion?,Fick’s Law.
2296,Fundamental Principles,What is the unit of diffusion coefficient?,m²/s.
2297,Fundamental Principles,What is an environmental receptor?,A person or ecosystem exposed to contaminants.
2298,Health Hazards & Risk Assessment,What does exposure duration refer to?,Length of time exposure occurs.
2299,Air Quality & Control,What is the unit of concentration in air pollution?,µg/m³.
2300,Fundamental Principles,Convert 1 ppm of a gas to mg/m³ at STP (qualitative).,Depends on molecular weight.
2301,Air Quality & Control,What is the purpose of stack height in air pollution control?,Dilute pollutants in the atmosphere.
2302,Probability & Statistics,What does Gaussian plume modeling estimate?,Ground-level pollutant concentrations.
2303,Fundamental Principles,What is an emission factor?,Pollutant mass per unit activity.
2304,Fundamental Principles,What is the main greenhouse gas emitted by human activities?,Carbon dioxide.
2305,Fundamental Principles,What is global warming potential (GWP)?,Relative climate impact of gases.
2306,Fundamental Principles,What is the residence time of water in a lake?,Volume divided by outflow rate.
2307,Environmental Chemistry,What is eutrophic water characterized by?,High nutrients and productivity.
2308,Environmental Chemistry,What is oligotrophic water characterized by?,Low nutrients and productivity.
2309,Fundamental Principles,What is thermal stratification caused by?,Temperature differences.
2310,Fundamental Principles,What is turnover in lakes?,Seasonal mixing of water layers.
2311,Fundamental Principles,What is the epilimnion?,Warm surface layer.
2312,Fundamental Principles,What is the hypolimnion?,Cold bottom layer.
2313,Fundamental Principles,What is a thermocline?,Zone of rapid temperature change.
2314,Fundamental Principles,What is the primary cause of fish kills?,Low dissolved oxygen.
2315,Fundamental Principles,What is a conservative pollutant?,Does not degrade or react.
2316,Probability & Statistics,What does first-order decay mean?,Decay rate proportional to concentration.
2317,Environmental Chemistry,What is the unit of a first-order rate constant?,1/time.
2318,Fundamental Principles,What happens to concentration in first-order decay over time?,Exponential decrease.
2319,Fundamental Principles,What is a batch reactor?,No inflow or outflow during reaction.
2320,Fundamental Principles,What is a completely mixed reactor assumption?,Uniform concentration throughout reactor.
